iter	Passed	Remaining
399	32128	48193
400	32206	48108
401	32276	48014
402	32349	47922
403	32428	47840
404	32637	47948
405	32741	47902
406	32822	47822
407	32900	47737
408	32980	47656
409	33060	47574
410	33135	47485
411	33213	47401
412	33283	47306
413	33361	47221
414	33431	47126
415	33511	47045
416	33583	46952
417	33666	46875
418	33744	46790
419	33822	46707
420	33907	46632
421	33994	46561
422	34101	46516
423	34186	46441
424	34271	46366
425	34359	46296
426	34447	46225
427	34547	46171
428	34628	46089
429	34711	46012
430	34799	45941
431	34894	45879
432	34980	45806
433	35060	45724
434	35137	45638
435	35219	45558
436	35301	45480
437	35402	45425
438	35475	45334
439	35557	45255
440	35634	45169
441	35733	45111
442	35823	45042
443	35913	44973
444	35997	44895
445	36074	44810
446	36154	44727
447	36268	44688
448	36365	44626
449	36468	44572
450	36557	44501
451	36656	44441
452	36754	44381
453	36844	44311
454	36937	44243
455	37029	44175
456	37117	44102
457	37207	44031
458	37294	43957
459	37392	43895
460	37518	43866
461	37720	43925
462	37835	43882
463	37946	43834
464	38172	43918
465	38257	43840
466	38333	43751
467	38406	43658
468	38495	43584
469	38585	43511
470	38656	43417
471	38765	43365
472	38869	43307
473	38971	43246
474	39075	43188
475	39155	43104
476	39244	43029
477	39352	42974
478	39436	42894
479	39526	42820
480	39652	42784
481	39724	42691
482	39791	42592
483	39859	42495
484	39933	42403
485	40012	42317
486	40177	42322
487	40306	42288
488	40399	42216
489	40509	42162
490	40696	42188
491	40836	42164
492	40930	42092
493	41027	42023
494	41139	41970
495	41211	41876
496	41296	41795
497	41379	41712
498	41471	41637
499	41544	41544
500	41618	41452
501	41701	41369
502	41780	41282
503	41858	41193
504	41969	41138
505	42050	41053
506	42138	40975
507	42217	40888
508	42293	40797
509	42383	40721
510	42484	40655
511	42555	40560
512	42624	40464
513	42704	40378
514	42798	40304
515	42898	40238
516	42990	40163
517	43078	40084
518	43176	40015
519	43292	39961
520	43388	39891
521	43463	39799
522	43534	39705
523	43614	39619
524	43688	39527
525	43769	39442
526	43859	39365
527	43945	39284
528	44023	39196
529	44104	39111
530	44185	39026
531	44264	38939
532	44344	38853
533	44421	38764
534	44549	38720
535	44632	38637
536	44707	38547
537	44785	38458
538	44869	38376
539	44948	38289
540	45023	38198
541	45102	38112
542	45202	38043
543	45295	37968
544	45386	37891
545	45465	37804
546	45549	37722
547	45629	37635
548	45704	37545
549	45784	37460
550	45868	37377
551	45948	37291
552	46030	37207
553	46105	37117
554	46189	37035
555	46279	36957
556	46362	36873
557	46452	36795
558	46532	36710
559	46617	36627
560	46695	36540
561	46772	36452
562	46856	36369
563	46937	36285
564	47014	36197
565	47097	36113
566	47174	36025
567	47263	35946
568	47334	35854
569	47414	35768
570	47493	35682
571	47566	35591
572	47641	35502
573	47718	35414
574	47798	35329
575	47875	35241
576	47947	35150
577	48029	35066
578	48102	34976
579	48187	34894
580	48269	34810
581	48342	34719
582	48418	34632
583	48495	34544
584	48565	34452
585	48637	34361
586	48709	34271
587	48781	34180
588	48854	34090
589	48931	34003
590	49013	33919
591	49094	33835
592	49172	33749
593	49252	33664
594	49335	33581
595	49410	33493
596	49489	33407
597	49570	33323
598	49657	33243
599	49737	33158
600	49822	33077
601	49896	32987
602	49974	32901
603	50060	32821
604	50171	32756
605	50275	32687
606	50351	32599
607	50430	32514
608	50512	32430
609	50591	32345
610	50664	32255
611	50734	32165
612	50809	32077
613	50887	31991
614	50959	31901
615	51038	31816
616	51118	31731
617	51194	31644
618	51275	31560
619	51353	31474
620	51432	31389
621	51508	31302
622	51580	31212
623	51655	31125
624	51728	31037
625	51806	30951
626	51884	30865
627	51959	30778
628	52028	30687
629	52108	30603
630	52182	30515
631	52264	30432
632	52351	30352
633	52443	30275
634	52529	30194
635	52604	30106
636	52685	30023
637	52760	29936
638	52838	29851
639	52913	29763
640	52988	29677
641	53068	29592
642	53146	29507
643	53217	29418
644	53289	29329
645	53364	29243
646	53450	29162
647	53527	29076
648	53602	28989
649	53677	28903
650	53753	28817
651	53834	28733
652	53916	28650
653	53994	28566
654	54078	28484
655	54151	28396
656	54223	28308
657	54300	28222
658	54378	28138
659	54457	28053
660	54537	27970
661	54620	27887
662	54696	27802
663	54771	27715
664	54847	27630
665	54930	27547
666	55009	27463
667	55097	27383
668	55178	27300
669	55256	27216
670	55334	27131
671	55456	27068
672	55538	26985
673	55613	26899
674	55685	26811
675	55765	26727
676	55838	26640
677	55917	26556
678	55994	26471
679	56075	26388
680	56150	26302
681	56230	26218
682	56306	26133
683	56392	26052
684	56474	25970
685	56568	25892
686	56665	25816
687	56748	25734
688	56824	25649
689	56908	25567
690	56983	25481
691	57066	25399
692	57143	25314
693	57217	25228
694	57285	25139
695	57357	25052
696	57439	24970
697	57529	24890
698	57650	24825
699	57744	24747
700	57840	24670
701	58011	24625
702	58194	24585
703	58507	24599
704	58768	24590
705	58931	24541
706	59096	24491
707	59228	24427
708	59337	24354
709	59419	24270
710	59518	24192
711	59584	24101
712	59658	24014
713	59734	23927
714	59810	23840
715	59893	23756
716	59975	23672
717	60050	23585
718	60199	23527
719	60296	23448
720	60387	23367
721	60541	23310
722	60627	23228
723	60712	23144
724	60784	23056
725	60855	22967
726	60930	22880
727	61016	22797
728	61091	22710
729	61167	22623
730	61238	22535
731	61315	22448
732	61394	22363
733	61475	22278
734	61553	22192
735	61626	22105
736	61698	22017
737	61775	21931
738	61855	21846
739	61935	21761
740	62020	21678
741	62097	21591
742	62170	21504
743	62243	21417
744	62313	21328
745	62393	21243
746	62467	21156
747	62536	21068
748	62617	20983
749	62691	20897
750	62764	20810
751	62837	20723
752	62914	20637
753	62996	20553
754	63073	20467
755	63144	20380
756	63225	20295
757	63299	20209
758	63374	20122
759	63460	20040
760	63544	19956
761	63622	19871
762	63696	19785
763	63777	19700
764	63854	19615
765	63929	19529
766	64003	19443
767	64080	19357
768	64160	19273
769	64225	19184
770	64322	19104
771	64407	19021
772	64483	18936
773	64570	18853
774	64659	18772
775	64747	18689
776	64834	18607
777	64922	18525
778	65005	18441
779	65095	18360
780	65182	18277
781	65251	18190
782	65330	18105
783	65414	18022
784	65487	17936
785	65562	17850
786	65643	17766
787	65742	17687
788	65832	17605
789	65909	17520
790	65987	17435
791	66066	17350
792	66146	17266
793	66226	17182
794	66296	17095
795	66366	17008
796	66440	16922
797	66515	16837
798	66588	16751
799	66665	16666
800	66743	16581
801	66819	16496
802	66888	16409
803	66963	16324
804	67078	16248
805	67159	16164
806	67230	16078
807	67313	15995
808	67386	15909
809	67459	15823
810	67534	15738
811	67607	15653
812	67679	15567
813	67764	15484
814	67851	15401
815	67930	15317
816	68000	15231
817	68072	15145
818	68159	15063
819	68229	14977
820	68311	14893
821	68402	14812
822	68484	14728
823	68572	14646
824	68663	14564
825	68753	14483
826	68837	14400
827	68921	14316
828	69002	14233
829	69080	14149
830	69178	14068
831	69245	13982
832	69329	13899
833	69403	13814
